site,date,number,genID,finalPlantID
SC,72012,226,long tongued bee,Erigeron subtrinervis
SC,72012,227,short tongued fly,Erigeron subtrinervis
SC,72012,228,long tongued fly,Erigeron subtrinervis
SC,72012,229,short tongued fly,Erigeron subtrinervis
SC,72012,230,short tongued bee,Erigeron subtrinervis
SC,72012,231,short tongued fly,Erigeron subtrinervis
SC,72012,232,short tongued bee,Erigeron subtrinervis
SC,72012,233,long tongued fly,Erigeron subtrinervis
SC,72012,234,short tongued bee,Erigeron subtrinervis
SC,72012,235,short tongued bee,Erigeron subtrinervis
SC,72012,236,short tongued fly,Erigeron subtrinervis
SC,72012,237,short tongued bee,Erigeron subtrinervis
SC,72012,238,short tongued bee,Erigeron subtrinervis
SC,72012,239,short tongued bee,Erigeron subtrinervis
SC,72012,240,wasp,Erigeron subtrinervis
SC,72012,241,wasp,Erigeron subtrinervis
SC,72012,242,short tongued fly,Erigeron subtrinervis
SC,72012,243,long tongued bee,Erigeron subtrinervis
SC,72012,244,long tongued fly,Erigeron subtrinervis
SC,72012,245,long tongued fly,Erigeron subtrinervis
SC,72012,246,short tongued fly,Erigeron subtrinervis
SC,72012,247,short tongued fly,Erigeron subtrinervis
SC,72012,248,short tongued bee,Erigeron subtrinervis
SC,72012,249,short tongued bee,Erigeron subtrinervis
SC,72012,250,long tongued bee,Erigeron subtrinervis
SC,72012,251,long tongued bee,Erigeron subtrinervis
SC,72012,252,short tongued bee,Erigeron subtrinervis
SC,72012,253,short tongued bee,Erigeron subtrinervis
SC,72012,254,short tongued bee,Erigeron subtrinervis
SC,72012,255,short tongued bee,Erigeron subtrinervis
SC,72012,256,long tongued bee,Erigeron subtrinervis
SC,72012,257,short tongued fly,Erigeron subtrinervis
SC,72012,258,long tongued bee,Erigeron subtrinervis
SC,72012,259,long tongued fly,Erigeron subtrinervis
SC,72012,260,long tongued fly,Erigeron subtrinervis
SC,72012,261,wasp,Erigeron subtrinervis
SC,72012,262,wasp,Erigeron subtrinervis
SC,72012,290,short tongued bee,Erigeron subtrinervis
SC,72012,291,short tongued bee,Erigeron subtrinervis
SC,72012,292,long tongued fly,Erigeron subtrinervis
SC,72012,293,short tongued bee,Erigeron subtrinervis
SC,72012,294,short tongued bee,Erigeron subtrinervis
SC,72012,295,long tongued fly,Erigeron subtrinervis
SC,72012,296,long tongued bee,Erigeron subtrinervis
SC,72012,297,short tongued bee,Erigeron subtrinervis
SC,72012,298,wasp,Erigeron subtrinervis
SC,72012,299,wasp,Erigeron subtrinervis
SC,72012,300,short tongued fly,Erigeron subtrinervis
SC,72012,325,butterfly,Erigeron subtrinervis
SC,72012,327,butterfly,Erigeron subtrinervis
SC,72012,330,butterfly,Erigeron subtrinervis
SC,72112,21,short tongued bee,Erigeron subtrinervis
SC,72112,22,long tongued bee,Erigeron subtrinervis
SC,72112,23,short tongued bee,Erigeron subtrinervis
SC,72112,24,short tongued bee,Erigeron subtrinervis
SC,72112,25,short tongued fly,Erigeron subtrinervis
SC,72112,26,wasp,Erigeron subtrinervis
SC,72112,27,short tongued bee,Erigeron subtrinervis
SC,72112,28,short tongued bee,Erigeron subtrinervis
SC,72112,29,long tongued fly,Erigeron subtrinervis
SC,72112,30,short tongued bee,Erigeron subtrinervis
SC,72112,31,short tongued bee,Erigeron subtrinervis
SC,72112,32,short tongued fly,Erigeron subtrinervis
SC,72112,33,short tongued bee,Erigeron subtrinervis
SC,72112,34,short tongued bee,Erigeron subtrinervis
SC,72112,35,short tongued bee,Erigeron subtrinervis
SC,72112,36,short tongued bee,Erigeron subtrinervis
SC,72112,42,short tongued bee,Erigeron subtrinervis
SC,72112,43,short tongued fly,Erigeron subtrinervis
SC,72112,44,short tongued fly,Erigeron subtrinervis
SC,72112,68,short tongued bee,Erigeron subtrinervis
SC,72112,69,short tongued bee,Erigeron subtrinervis
SC,72112,70,short tongued bee,Erigeron subtrinervis
SC,72112,71,short tongued bee,Erigeron subtrinervis
SC,72112,72,short tongued bee,Erigeron subtrinervis
SC,72112,73,short tongued bee,Erigeron subtrinervis
SC,72112,74,short tongued bee,Erigeron subtrinervis
SC,72112,75,short tongued bee,Erigeron subtrinervis
SC,72112,76,short tongued bee,Erigeron subtrinervis
SC,72112,77,short tongued bee,Erigeron subtrinervis
SC,72112,78,short tongued bee,Erigeron subtrinervis
SC,72112,79,short tongued bee,Erigeron subtrinervis
SC,72112,80,short tongued bee,Erigeron subtrinervis
SC,72112,81,short tongued bee,Erigeron subtrinervis
SC,72112,124,long tongued fly,Erigeron subtrinervis
SC,72112,125,short tongued bee,Erigeron subtrinervis
SC,72112,126,short tongued bee,Erigeron subtrinervis
SC,72112,127,short tongued fly,Erigeron subtrinervis
SC,72112,128,short tongued fly,Erigeron subtrinervis
SC,72112,129,short tongued fly,Erigeron subtrinervis
SC,72112,130,wasp,Erigeron subtrinervis
SC,72112,131,short tongued bee,Erigeron subtrinervis
SC,72112,132,short tongued bee,Erigeron subtrinervis
SC,72112,133,short tongued bee,Erigeron subtrinervis
SC,72112,134,short tongued bee,Erigeron subtrinervis
SC,72112,135,short tongued bee,Erigeron subtrinervis
SC,72112,136,short tongued bee,Erigeron subtrinervis
SC,72112,137,short tongued fly,Erigeron subtrinervis
SC,72112,138,wasp,Erigeron subtrinervis
SC,72112,139,wasp,Erigeron subtrinervis
SC,72112,156,short tongued bee,Erigeron subtrinervis
SC,72112,157,short tongued bee,Erigeron subtrinervis
SC,72112,158,short tongued bee,Erigeron subtrinervis
SC,72112,159,short tongued bee,Erigeron subtrinervis
SC,72112,160,short tongued bee,Erigeron subtrinervis
SC,72312,48,short tongued bee,Erigeron subtrinervis
SC,72312,49,long tongued bee,Erigeron subtrinervis
SC,72312,50,long tongued fly,Erigeron subtrinervis
SC,72312,51,short tongued bee,Erigeron subtrinervis
SC,72312,52,short tongued bee,Erigeron subtrinervis
SC,72312,53,short tongued fly,Erigeron subtrinervis
SC,72312,54,long tongued bee,Erigeron subtrinervis
SC,72312,55,short tongued bee,Erigeron subtrinervis
SC,72312,56,short tongued bee,Erigeron subtrinervis
SC,72312,57,short tongued bee,Erigeron subtrinervis
SC,72312,58,short tongued bee,Erigeron subtrinervis
SC,72312,59,long tongued fly,Erigeron subtrinervis
SC,72312,60,short tongued bee,Erigeron subtrinervis
SC,72312,61,short tongued bee,Erigeron subtrinervis
SC,72312,62,short tongued fly,Erigeron subtrinervis
SC,72312,63,short tongued bee,Erigeron subtrinervis
SC,72312,64,short tongued bee,Erigeron subtrinervis
SC,72312,65,short tongued bee,Erigeron subtrinervis
SC,72312,66,short tongued bee,Erigeron subtrinervis
SC,72312,207,short tongued fly,Erigeron subtrinervis
SC,72312,208,short tongued bee,Erigeron subtrinervis
SC,72312,209,short tongued bee,Erigeron subtrinervis
SC,72312,210,short tongued fly,Erigeron subtrinervis
SC,72312,211,short tongued fly,Erigeron subtrinervis
SC,72312,212,short tongued bee,Erigeron subtrinervis
SC,72312,213,short tongued fly,Erigeron subtrinervis
SC,72312,214,short tongued bee,Erigeron subtrinervis
SC,72312,215,short tongued fly,Erigeron subtrinervis
SC,72312,216,short tongued bee,Erigeron subtrinervis
SC,72312,217,short tongued bee,Erigeron subtrinervis
SC,72312,218,short tongued bee,Erigeron subtrinervis
SC,72312,219,short tongued bee,Erigeron subtrinervis
SC,72312,220,short tongued bee,Erigeron subtrinervis
SC,72312,221,short tongued bee,Erigeron subtrinervis
SC,72312,222,long tongued fly,Erigeron subtrinervis
SC,72312,223,short tongued bee,Erigeron subtrinervis
SC,72312,224,short tongued bee,Erigeron subtrinervis
SC,72312,225,short tongued bee,Erigeron subtrinervis
SC,72312,226,wasp,Erigeron subtrinervis
SC,72312,227,wasp,Erigeron subtrinervis
SC,72312,228,short tongued bee,Erigeron subtrinervis
SC,72312,229,short tongued bee,Erigeron subtrinervis
SC,72312,230,short tongued bee,Erigeron subtrinervis
SC,72312,231,short tongued bee,Erigeron subtrinervis
SC,72312,232,short tongued bee,Erigeron subtrinervis
SC,72312,233,short tongued fly,Erigeron subtrinervis
SC,72312,234,short tongued bee,Erigeron subtrinervis
SC,72312,235,ant,Erigeron subtrinervis
SC,72312,236,ant,Erigeron subtrinervis
SC,72312,249,short tongued bee,Erigeron subtrinervis
SC,72312,250,short tongued bee,Erigeron subtrinervis
SC,72312,298,butterfly,Erigeron subtrinervis
SC,72312,299,short tongued bee,Erigeron subtrinervis
SC,72612,25,short tongued fly,Erigeron subtrinervis
SC,72612,26,short tongued fly,Erigeron subtrinervis
SC,72612,27,short tongued fly,Erigeron subtrinervis
SC,72612,28,short tongued bee,Erigeron subtrinervis
SC,72612,29,short tongued fly,Erigeron subtrinervis
SC,72612,30,short tongued bee,Erigeron subtrinervis
SC,72612,31,long tongued bee,Erigeron subtrinervis
SC,72612,32,short tongued bee,Erigeron subtrinervis
SC,72612,33,short tongued bee,Erigeron subtrinervis
SC,72612,34,short tongued bee,Erigeron subtrinervis
SC,72612,35,short tongued bee,Erigeron subtrinervis
SC,72612,36,short tongued fly,Erigeron subtrinervis
SC,72612,37,short tongued bee,Erigeron subtrinervis
SC,72612,38,short tongued fly,Erigeron subtrinervis
SC,72612,39,short tongued fly,Erigeron subtrinervis
SC,72612,40,short tongued bee,Erigeron subtrinervis
SC,72612,41,wasp,Erigeron subtrinervis
SC,72612,42,short tongued fly,Erigeron subtrinervis
SC,72612,43,short tongued bee,Erigeron subtrinervis
SC,72612,44,short tongued bee,Erigeron subtrinervis
SC,72612,45,short tongued fly,Erigeron subtrinervis
SC,72612,46,short tongued bee,Erigeron subtrinervis
SC,72612,47,short tongued bee,Erigeron subtrinervis
SC,72612,48,short tongued fly,Erigeron subtrinervis
SC,72612,49,long tongued fly,Erigeron subtrinervis
SC,72612,50,short tongued fly,Erigeron subtrinervis
SC,72612,51,short tongued bee,Erigeron subtrinervis
SC,72612,52,long tongued fly,Erigeron subtrinervis
SC,72612,53,short tongued fly,Erigeron subtrinervis
SC,72612,76,short tongued fly,Erigeron subtrinervis
SC,72612,77,wasp,Erigeron subtrinervis
SC,72612,78,short tongued bee,Erigeron subtrinervis
SC,72612,79,short tongued fly,Erigeron subtrinervis
SC,72612,80,short tongued bee,Erigeron subtrinervis
SC,72612,81,short tongued bee,Erigeron subtrinervis
SC,72612,82,long tongued fly,Erigeron subtrinervis
SC,72612,83,short tongued fly,Erigeron subtrinervis
SC,72612,84,wasp,Erigeron subtrinervis
SC,72612,85,short tongued fly,Erigeron subtrinervis
SC,72612,86,long tongued fly,Erigeron subtrinervis
SC,72612,87,short tongued bee,Erigeron subtrinervis
SC,72612,88,short tongued fly,Erigeron subtrinervis
SC,72612,89,short tongued bee,Erigeron subtrinervis
SC,72612,90,short tongued fly,Erigeron subtrinervis
SC,72612,91,short tongued bee,Erigeron subtrinervis
SC,72612,92,short tongued bee,Erigeron subtrinervis
SC,72612,93,short tongued bee,Erigeron subtrinervis
SC,72612,94,long tongued fly,Erigeron subtrinervis
SC,72612,95,short tongued bee,Erigeron subtrinervis
SC,72612,96,short tongued fly,Erigeron subtrinervis
SC,72612,97,short tongued fly,Erigeron subtrinervis
SC,72612,98,short tongued bee,Erigeron subtrinervis
SC,72612,99,short tongued bee,Erigeron subtrinervis
SC,72612,100,long tongued bee,Erigeron subtrinervis
SC,72612,186,short tongued fly,Erigeron subtrinervis
SC,72612,187,short tongued bee,Erigeron subtrinervis
SC,72612,188,short tongued bee,Erigeron subtrinervis
SC,72612,189,short tongued fly,Erigeron subtrinervis
SC,72612,190,long tongued bee,Erigeron subtrinervis
SC,72612,191,short tongued bee,Erigeron subtrinervis
SC,72612,192,short tongued fly,Erigeron subtrinervis
SC,72612,193,short tongued bee,Erigeron subtrinervis
SC,72612,194,wasp,Erigeron subtrinervis
SC,72612,195,short tongued bee,Erigeron subtrinervis
SC,72612,196,long tongued fly,Erigeron subtrinervis
SC,72612,197,short tongued bee,Erigeron subtrinervis
SC,72612,198,short tongued fly,Erigeron subtrinervis
SC,72612,199,long tongued bee,Erigeron subtrinervis
SC,72612,200,long tongued bee,Erigeron subtrinervis
SC,72612,201,short tongued bee,Erigeron subtrinervis
SC,72612,202,wasp,Erigeron subtrinervis
SC,72612,203,wasp,Erigeron subtrinervis
SC,72612,204,short tongued bee,Erigeron subtrinervis
SC,72612,205,short tongued bee,Erigeron subtrinervis
SC,72612,206,short tongued bee,Erigeron subtrinervis
SC,72612,207,wasp,Erigeron subtrinervis
SC,72612,208,short tongued fly,Erigeron subtrinervis
SC,72612,209,long tongued fly,Erigeron subtrinervis
SC,72612,210,long tongued fly,Erigeron subtrinervis
SC,72612,211,long tongued fly,Erigeron subtrinervis
SC,72612,212,short tongued fly,Erigeron subtrinervis
SC,72612,213,short tongued fly,Erigeron subtrinervis
SC,72612,214,long tongued fly,Erigeron subtrinervis
SC,72612,215,short tongued fly,Erigeron subtrinervis
SC,72612,216,short tongued fly,Erigeron subtrinervis
SC,72612,217,short tongued bee,Erigeron subtrinervis
SC,72612,218,short tongued bee,Erigeron subtrinervis
SC,72612,219,long tongued bee,Erigeron subtrinervis
SC,72612,220,short tongued bee,Erigeron subtrinervis
SC,72612,221,short tongued bee,Erigeron subtrinervis
SC,72612,222,short tongued bee,Erigeron subtrinervis
SC,72612,223,wasp,Erigeron subtrinervis
SC,72612,224,short tongued fly,Erigeron subtrinervis
SC,72612,225,long tongued fly,Erigeron subtrinervis
SC,72612,226,wasp,Erigeron subtrinervis
SC,72612,227,short tongued fly,Erigeron subtrinervis
SC,72612,228,short tongued fly,Erigeron subtrinervis
SC,72612,229,short tongued bee,Erigeron subtrinervis
SC,72612,230,short tongued fly,Erigeron subtrinervis
SC,72612,231,short tongued fly,Erigeron subtrinervis
SC,72612,232,short tongued bee,Erigeron subtrinervis
SC,72612,233,short tongued fly,Erigeron subtrinervis
SC,72612,234,short tongued bee,Erigeron subtrinervis
SC,72612,235,short tongued bee,Erigeron subtrinervis
SC,72612,236,short tongued bee,Erigeron subtrinervis
SC,72612,237,short tongued bee,Erigeron subtrinervis
SC,72612,238,short tongued bee,Erigeron subtrinervis
SC,72612,239,short tongued bee,Erigeron subtrinervis
SC,72612,240,short tongued bee,Erigeron subtrinervis
SC,72612,241,short tongued bee,Erigeron subtrinervis
SC,72612,242,wasp,Erigeron subtrinervis
SC,72612,243,short tongued bee,Erigeron subtrinervis
SC,72612,244,short tongued bee,Erigeron subtrinervis
SC,72612,245,short tongued bee,Erigeron subtrinervis
SC,72612,246,short tongued bee,Erigeron subtrinervis
SC,72612,247,short tongued bee,Erigeron subtrinervis
SC,72612,248,short tongued bee,Erigeron subtrinervis
SC,72612,249,short tongued bee,Erigeron subtrinervis
SC,72612,250,short tongued bee,Erigeron subtrinervis
SC,72612,251,short tongued bee,Erigeron subtrinervis
SC,72612,252,short tongued bee,Erigeron subtrinervis
SC,72612,253,short tongued bee,Erigeron subtrinervis
SC,72612,254,short tongued bee,Erigeron subtrinervis
SC,72612,255,short tongued bee,Erigeron subtrinervis
SC,72612,256,short tongued bee,Erigeron subtrinervis
SC,72612,257,short tongued bee,Erigeron subtrinervis
SC,72612,258,long tongued bee,Erigeron subtrinervis
SC,72612,281,short tongued bee,Erigeron subtrinervis
SC,72712,1,short tongued fly,Erigeron subtrinervis
SC,72712,2,long tongued bee,Erigeron subtrinervis
SC,72712,3,long tongued fly,Erigeron subtrinervis
SC,72712,4,long tongued fly,Erigeron subtrinervis
SC,72712,5,short tongued fly,Erigeron subtrinervis
SC,72712,6,short tongued fly,Erigeron subtrinervis
SC,72712,7,wasp,Erigeron subtrinervis
SC,72712,8,short tongued fly,Erigeron subtrinervis
SC,72712,9,long tongued fly,Erigeron subtrinervis
SC,72712,10,short tongued fly,Erigeron subtrinervis
SC,72712,11,short tongued fly,Erigeron subtrinervis
SC,72712,12,long tongued fly,Erigeron subtrinervis
SC,72712,13,long tongued fly,Erigeron subtrinervis
SC,72712,14,short tongued fly,Erigeron subtrinervis
SC,72712,15,short tongued fly,Erigeron subtrinervis
SC,72712,16,short tongued fly,Erigeron subtrinervis
SC,72712,17,wasp,Erigeron subtrinervis
SC,72712,18,short tongued fly,Erigeron subtrinervis
SC,72712,19,long tongued fly,Erigeron subtrinervis
SC,72712,20,wasp,Erigeron subtrinervis
SC,72712,21,short tongued bee,Erigeron subtrinervis
SC,72712,22,short tongued bee,Erigeron subtrinervis
SC,72712,23,long tongued fly,Erigeron subtrinervis
SC,72712,24,short tongued bee,Erigeron subtrinervis
SC,72712,25,wasp,Erigeron subtrinervis
SC,72712,26,short tongued fly,Erigeron subtrinervis
SC,72712,27,short tongued bee,Erigeron subtrinervis
SC,72712,28,wasp,Erigeron subtrinervis
SC,72712,29,short tongued bee,Erigeron subtrinervis
SC,72712,30,wasp,Erigeron subtrinervis
SC,72712,31,short tongued bee,Erigeron subtrinervis
SC,72712,32,long tongued fly,Erigeron subtrinervis
SC,72712,33,short tongued fly,Erigeron subtrinervis
SC,72712,34,long tongued fly,Erigeron subtrinervis
SC,72712,35,short tongued fly,Erigeron subtrinervis
SC,72712,36,short tongued fly,Erigeron subtrinervis
SC,72712,37,short tongued bee,Erigeron subtrinervis
SC,72712,38,short tongued fly,Erigeron subtrinervis
SC,72712,91,wasp,Erigeron subtrinervis
SC,72712,92,short tongued fly,Erigeron subtrinervis
SC,72712,93,short tongued fly,Erigeron subtrinervis
SC,72712,94,short tongued fly,Erigeron subtrinervis
SC,72712,95,short tongued bee,Erigeron subtrinervis
SC,72712,96,short tongued bee,Erigeron subtrinervis
SC,72712,97,short tongued bee,Erigeron subtrinervis
SC,72712,98,long tongued bee,Erigeron subtrinervis
SC,72712,136,long tongued fly,Erigeron subtrinervis
SC,72712,137,long tongued fly,Erigeron subtrinervis
SC,72712,138,short tongued bee,Erigeron subtrinervis
SC,72712,139,short tongued bee,Erigeron subtrinervis
SC,72712,140,short tongued fly,Erigeron subtrinervis
SC,72712,141,short tongued fly,Erigeron subtrinervis
SC,72712,142,short tongued fly,Erigeron subtrinervis
SC,72712,143,wasp,Erigeron subtrinervis
SC,72712,144,long tongued fly,Erigeron subtrinervis
SC,72712,145,wasp,Erigeron subtrinervis
SC,72712,146,short tongued fly,Erigeron subtrinervis
SC,72712,147,short tongued bee,Erigeron subtrinervis
SC,72712,148,short tongued bee,Erigeron subtrinervis
SC,72712,149,wasp,Erigeron subtrinervis
SC,72712,150,short tongued fly,Erigeron subtrinervis
SC,72712,151,short tongued bee,Erigeron subtrinervis
SC,72712,152,long tongued fly,Erigeron subtrinervis
SC,72712,153,short tongued bee,Erigeron subtrinervis
SC,72712,154,short tongued fly,Erigeron subtrinervis
SC,72712,155,short tongued fly,Erigeron subtrinervis
SC,72712,156,wasp,Erigeron subtrinervis
SC,72712,157,wasp,Erigeron subtrinervis
SC,72712,158,wasp,Erigeron subtrinervis
SC,72712,159,short tongued fly,Erigeron subtrinervis
SC,72712,160,wasp,Erigeron subtrinervis
SC,72712,161,wasp,Erigeron subtrinervis
SC,72712,162,short tongued fly,Erigeron subtrinervis
SC,72712,163,long tongued bee,Erigeron subtrinervis
SC,72712,164,short tongued bee,Erigeron subtrinervis
SC,72712,165,short tongued bee,Erigeron subtrinervis
SC,72712,166,short tongued bee,Erigeron subtrinervis
SC,72712,167,short tongued bee,Erigeron subtrinervis
SC,72712,168,short tongued bee,Erigeron subtrinervis
SC,72712,169,short tongued bee,Erigeron subtrinervis
SC,72712,170,wasp,Erigeron subtrinervis
SC,72712,171,short tongued bee,Erigeron subtrinervis
SC,72712,172,wasp,Erigeron subtrinervis
SC,72712,173,short tongued fly,Erigeron subtrinervis
SC,72712,174,long tongued fly,Erigeron subtrinervis
SC,72712,175,short tongued bee,Erigeron subtrinervis
SC,72712,176,short tongued bee,Erigeron subtrinervis
SC,72712,177,short tongued bee,Erigeron subtrinervis
SC,72712,178,short tongued bee,Erigeron subtrinervis
SC,72712,179,short tongued bee,Erigeron subtrinervis
SC,72712,180,short tongued bee,Erigeron subtrinervis
SC,72712,181,short tongued bee,Erigeron subtrinervis
SC,72712,182,short tongued bee,Erigeron subtrinervis
SC,72712,183,short tongued bee,Erigeron subtrinervis
SC,72712,184,short tongued bee,Erigeron subtrinervis
SC,72712,263,butterfly,Erigeron subtrinervis
SC,72712,264,butterfly,Erigeron subtrinervis
SC,72712,265,butterfly,Erigeron subtrinervis
SC,72712,266,butterfly,Erigeron subtrinervis
SC,72712,269,butterfly,Erigeron subtrinervis
SC,72712,270,butterfly,Erigeron subtrinervis
SC,72812,19,short tongued fly,Erigeron subtrinervis
SC,72812,20,wasp,Erigeron subtrinervis
SC,72812,21,long tongued fly,Erigeron subtrinervis
SC,72812,22,short tongued fly,Erigeron subtrinervis
SC,72812,23,short tongued fly,Erigeron subtrinervis
SC,72812,24,short tongued fly,Erigeron subtrinervis
SC,72812,25,long tongued bee,Erigeron subtrinervis
SC,72812,26,short tongued bee,Erigeron subtrinervis
SC,72812,27,short tongued fly,Erigeron subtrinervis
SC,72812,28,long tongued fly,Erigeron subtrinervis
SC,72812,29,long tongued fly,Erigeron subtrinervis
SC,72812,30,short tongued fly,Erigeron subtrinervis
SC,72812,31,short tongued fly,Erigeron subtrinervis
SC,72812,32,short tongued bee,Erigeron subtrinervis
SC,72812,33,short tongued bee,Erigeron subtrinervis
SC,72812,34,long tongued bee,Erigeron subtrinervis
SC,72812,35,short tongued bee,Erigeron subtrinervis
SC,72812,36,short tongued fly,Erigeron subtrinervis
SC,72812,37,short tongued bee,Erigeron subtrinervis
SC,72812,38,short tongued bee,Erigeron subtrinervis
SC,72812,39,short tongued fly,Erigeron subtrinervis
SC,72812,40,long tongued fly,Erigeron subtrinervis
SC,72812,41,short tongued bee,Erigeron subtrinervis
SC,72812,42,short tongued bee,Erigeron subtrinervis
SC,72812,43,long tongued bee,Erigeron subtrinervis
SC,72812,44,short tongued fly,Erigeron subtrinervis
SC,72812,45,short tongued fly,Erigeron subtrinervis
SC,72812,46,short tongued fly,Erigeron subtrinervis
SC,72812,47,short tongued bee,Erigeron subtrinervis
SC,72812,48,short tongued fly,Erigeron subtrinervis
SC,72812,49,short tongued fly,Erigeron subtrinervis
SC,72812,50,short tongued fly,Erigeron subtrinervis
SC,72812,51,short tongued bee,Erigeron subtrinervis
SC,72812,52,short tongued bee,Erigeron subtrinervis
SC,72812,53,wasp,Erigeron subtrinervis
SC,72812,54,short tongued bee,Erigeron subtrinervis
SC,72812,55,short tongued bee,Erigeron subtrinervis
SC,72812,56,short tongued bee,Erigeron subtrinervis
SC,72812,57,short tongued fly,Erigeron subtrinervis
SC,72812,58,short tongued bee,Erigeron subtrinervis
SC,72812,59,short tongued fly,Erigeron subtrinervis
SC,72812,106,butterfly,Erigeron subtrinervis
SC,72812,107,butterfly,Erigeron subtrinervis
SC,72812,155,long tongued fly,Erigeron subtrinervis
SC,72812,156,short tongued fly,Erigeron subtrinervis
SC,72812,157,long tongued bee,Erigeron subtrinervis
SC,72812,158,short tongued bee,Erigeron subtrinervis
SC,72812,159,long tongued bee,Erigeron subtrinervis
SC,72812,160,long tongued fly,Erigeron subtrinervis
SC,72812,161,short tongued bee,Erigeron subtrinervis
SC,72812,162,short tongued bee,Erigeron subtrinervis
SC,72812,163,short tongued bee,Erigeron subtrinervis
SC,72812,164,short tongued bee,Erigeron subtrinervis
SC,72812,165,short tongued bee,Erigeron subtrinervis
SC,72812,166,wasp,Erigeron subtrinervis
SC,72812,167,short tongued bee,Erigeron subtrinervis
SC,72812,168,short tongued bee,Erigeron subtrinervis
SC,72812,169,short tongued bee,Erigeron subtrinervis
SC,72812,170,wasp,Erigeron subtrinervis
SC,72812,171,short tongued fly,Erigeron subtrinervis
SC,72812,172,short tongued bee,Erigeron subtrinervis
SC,72812,173,short tongued fly,Erigeron subtrinervis
SC,72812,174,short tongued bee,Erigeron subtrinervis
SC,72812,175,long tongued fly,Erigeron subtrinervis
SC,72812,176,short tongued bee,Erigeron subtrinervis
SC,72812,177,short tongued bee,Erigeron subtrinervis
SC,72812,178,short tongued bee,Erigeron subtrinervis
SC,72812,179,short tongued bee,Erigeron subtrinervis
SC,72812,180,short tongued bee,Erigeron subtrinervis
SC,72812,181,long tongued bee,Erigeron subtrinervis
SC,72812,182,wasp,Erigeron subtrinervis
SC,72812,183,short tongued fly,Erigeron subtrinervis
SC,72812,184,short tongued bee,Erigeron subtrinervis
SC,72812,185,short tongued bee,Erigeron subtrinervis
SC,72812,186,short tongued fly,Erigeron subtrinervis
SC,72812,187,wasp,Erigeron subtrinervis
SC,72812,188,wasp,Erigeron subtrinervis
SC,72812,189,short tongued bee,Erigeron subtrinervis
SC,72812,190,wasp,Erigeron subtrinervis
SC,72812,191,short tongued bee,Erigeron subtrinervis
SC,72812,192,short tongued bee,Erigeron subtrinervis
SC,72812,193,short tongued fly,Erigeron subtrinervis
SC,72812,194,short tongued bee,Erigeron subtrinervis
SC,72812,195,short tongued bee,Erigeron subtrinervis
SC,72812,196,short tongued fly,Erigeron subtrinervis
SC,72812,197,short tongued fly,Erigeron subtrinervis
SC,72812,198,short tongued bee,Erigeron subtrinervis
SC,72812,220,beetle,Erigeron subtrinervis
SC,72912,5,wasp,Erigeron subtrinervis
SC,72912,6,short tongued fly,Erigeron subtrinervis
SC,72912,7,long tongued fly,Erigeron subtrinervis
SC,72912,8,short tongued fly,Erigeron subtrinervis
SC,72912,9,wasp,Erigeron subtrinervis
SC,72912,10,short tongued fly,Erigeron subtrinervis
SC,72912,11,short tongued bee,Erigeron subtrinervis
SC,72912,12,short tongued bee,Erigeron subtrinervis
SC,72912,93,short tongued fly,Erigeron subtrinervis
SC,72912,94,short tongued bee,Erigeron subtrinervis
SC,72912,95,short tongued fly,Erigeron subtrinervis
SC,72912,96,short tongued fly,Erigeron subtrinervis
SC,72912,97,short tongued fly,Erigeron subtrinervis
SC,72912,98,long tongued fly,Erigeron subtrinervis
SC,72912,99,long tongued fly,Erigeron subtrinervis
SC,72912,100,short tongued fly,Erigeron subtrinervis
SC,72912,101,short tongued fly,Erigeron subtrinervis
SC,72912,102,short tongued fly,Erigeron subtrinervis
SC,72912,103,wasp,Erigeron subtrinervis
SC,72912,104,wasp,Erigeron subtrinervis
SC,72912,105,wasp,Erigeron subtrinervis
SC,72912,106,wasp,Erigeron subtrinervis
SC,72912,107,wasp,Erigeron subtrinervis
SC,72912,108,wasp,Erigeron subtrinervis
SC,72912,109,wasp,Erigeron subtrinervis
SC,72912,110,wasp,Erigeron subtrinervis
SC,72912,111,wasp,Erigeron subtrinervis
SC,72912,112,wasp,Erigeron subtrinervis
SC,72912,113,short tongued bee,Erigeron subtrinervis
SC,72912,117,short tongued bee,Erigeron subtrinervis
JC,71512,144,short tongued bee,Erodium cicutarium
JC,71212,131,butterfly,Erysimum capitatum
JC,71512,163,short tongued fly,Erysimum capitatum
JC,71612,152,butterfly,Erysimum capitatum
SC,72612,282,butterfly,Erysimum capitatum
SC,72612,283,butterfly,Erysimum capitatum
SC,72712,52,wasp,Erysimum capitatum
SC,72712,267,butterfly,Erysimum capitatum
SC,72712,267B,butterfly,Erysimum capitatum
SC,72712,268,butterfly,Erysimum capitatum
MM,73112,48,wasp,Erysimum capitatum
MM,73112,72,short tongued fly,Erysimum capitatum
MM,73112,73,short tongued fly,Erysimum capitatum
MM,73112,117,short tongued bee,Erysimum capitatum
MM,73112,118,long tongued bee,Erysimum capitatum
MM,73112,119,short tongued fly,Erysimum capitatum
MM,73112,120,short tongued fly,Erysimum capitatum
MM,73112,123,butterfly,Erysimum capitatum
MM,73112,124,butterfly,Erysimum capitatum
MM,73112,125,butterfly,Erysimum capitatum
MM,73112,128,butterfly,Erysimum capitatum
MM,73112,129,butterfly,Erysimum capitatum
MM,73112,130,butterfly,Erysimum capitatum
