site,date,number,genID,genSp,sex,fieldPlantID,finalPlantID,samplingDay,sampingRound,collector,determiner,dateDetermined,notes
JC,7/15/12,172,Skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,
JC,7/15/12,173,Skipper,Pyrgus communis,,Erigeron subtrinervis,Erigeron subtrinervis,4,1,LCP,,,
JC,7/15/12,174,Skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,4,1,HLS,,,
JC,7/15/12,175,Moth,,,Erigeron subtrinervis,Erigeron subtrinervis,4,1,HLS,,,
JC,7/15/12,176,fly,,,yarrow,Achillea millefolium,4,1,HLS,,,
JC,7/15/12,177,bombyliid,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,178,fly,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,179,fly,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,180,fly,,,Potentilla fruticosa,Potentilla fruticosa,4,1,HLS,,,
JC,7/15/12,181,fly,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,182,fly,,,short erigeron,Erigeron formosissimus,4,1,HLS,,,
JC,7/15/12,188,Beetle,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,189,fly,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,190,small dark bee,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,191,himiptera,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,192,Fly,,,Achillea millefolium,Achillea millefolium,4,1,HLS,,,
JC,7/15/12,193,small dark bee,,,Small smooth erigeron,Erigeron formosissimus,4,1,HLS,,,
JC,7/15/12,194,small dark bee,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,195,small dark bee,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,196,beetle,,,Small brassica,,4,1,LCP,,,
JC,7/15/12,197,himiptera,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,198,small dark bee,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,199,small dark bee,,,Potentilla fruticosa,Potentilla fruticosa,4,1,HLS,,,
JC,7/15/12,200,bombyliid,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,201,small dark bee,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,202,small dark bee,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,203,small dark bee,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/15/12,204,small dark bee,,,Potentilla hippiana,Potentilla hippiana,4,1,HLS,,,
JC,7/16/12,0,hummingbird,Selasphorus platycercus,,star gilia,Ipomopsis aggregata,5,1,LCP,,,
JC,7/16/12,0,hummingbird,Selasphorus platycercus,,star gilia,Ipomopsis aggregata,5,1,LCP,,,
JC,7/16/12,0,hummingbird,Selasphorus platycercus,,star gilia,Ipomopsis aggregata,5,1,LCP,,,
JC,7/16/12,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,5,1,LCP,,,
JC,7/16/12,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,5,1,LCP,,,
JC,7/16/12,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,5,1,LCP,,,
JC,7/16/12,1,satyridae,Coenonympha tullia,,white aster,Hymenopappus newberryi,5,1,HLS,,,
JC,7/16/12,2,vanessa,Vanessa cardui,m,white aster,Hymenopappus newberryi,5,1,HLS,,,
JC,7/16/12,3,sulfur,Colias eurytheme,f,white aster,Hymenopappus newberryi,5,1,HLS,,,
JC,7/16/12,4,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,5,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,6,vanessa,Vanessa cardui,f,white aster,Hymenopappus newberryi,5,1,HLS,,,
JC,7/16/12,7,sulfur,Nathalis iole,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,8,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,9,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,10,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,11,sulfur,Colias eurytheme,m,white aster,Hymenopappus newberryi,5,1,HLS,,,
JC,7/16/12,12,sulfur,Colias eurytheme,f,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,13,white,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,14,moth,,,senicio,Senecio eremophilus,5,1,HLS,,,
JC,7/16/12,15,Syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,16,skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,17,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,18,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,19,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,20,Syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,21,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,22,wasp,,,white aster,Hymenopappus newberryi,5,1,HLS,,,
JC,7/16/12,23,small dark bee,,,pink,Eremogone fendleri,5,1,HLS,,,
JC,7/16/12,24,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,25,small dark bee,,,pink,Eremogone fendleri,5,1,HLS,,,
JC,7/16/12,26,Bumble Bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,27,Bumble Bee,,,senicio,Senecio eremophilus,5,1,LCP,,,
JC,7/16/12,28,Bumble Bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,29,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,30,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,31,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,32,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,33,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,34,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,35,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,36,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,37,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,38,small dark bee,,,pink,Eremogone fendleri,5,1,LCP,,,
JC,7/16/12,39,wasp,,,short erigeron,Erigeron formosissimus,5,1,LCP,,,
JC,7/16/12,40,small dark bee,,,short erigeron,Erigeron formosissimus,5,1,LCP,,,
JC,7/16/12,41,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,42,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,43,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,44,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,45,Syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,46,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,47,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,48,Bumble Bee,,,Geranium,Geranium caespitosum,5,1,LCP,,,
JC,7/16/12,49,bombyliid,,,white aster,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,50,Syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,51,Syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,HLS,,,
JC,7/16/12,52,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,53,Syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,54,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,55,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,56,bee,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,HLS,,,
JC,7/16/12,57,moth,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,58,skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,59,wasp,,,Yarrow,Achillea millefolium,5,1,HLS,,,
JC,7/16/12,60,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,61,Bumble Bee,,,Potentilla hippiana,Potentilla hippiana,5,1,HLS,,,
JC,7/16/12,62,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,63,bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,HLS,,,
JC,7/16/12,64,Syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,HLS,,,
JC,7/16/12,65,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,66,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,67,fly,,,Yarrow,Achillea millefolium,5,1,HLS,,,
JC,7/16/12,68,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,HLS,,,
JC,7/16/12,69,wasp,,,senicio,Senecio eremophilus,5,1,LCP,,,
JC,7/16/12,70,fly,,,senicio,Senecio eremophilus,5,1,LCP,,,
JC,7/16/12,71,Bumble Bee,,,senicio,Senecio eremophilus,5,1,LCP,,,
JC,7/16/12,72,Bumble Bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,LCP,,,
JC,7/16/12,73,Bumble Bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,LCP,,,
JC,7/16/12,74,Bumble Bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,LCP,,,
JC,7/16/12,75,Bumble Bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,LCP,,,
JC,7/16/12,76,bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,LCP,,,
JC,7/16/12,77,bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,LCP,,,
JC,7/16/12,78,Bumble Bee,,,Potentilla fruticosa,Potentilla fruticosa,5,1,LCP,,,
JC,7/16/12,79,Bumble Bee,,,pink,Eremogone fendleri,5,1,LCP,,,
JC,7/16/12,80,fly,,,Yarrow,Achillea millefolium,5,1,LCP,,,
JC,7/16/12,81,Syrphid,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,82,sweat bee,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,83,fly,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,84,fly,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,85,fly,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,86,fly,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,87,fly,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,88,Syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,89,bee,,,susan,Rudbeckia hirta,5,1,LCP,,,
JC,7/16/12,90,bombyliid,,,pink,Eremogone fendleri,5,1,LCP,,,
JC,7/16/12,91,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,92,bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,LCP,,,
JC,7/16/12,93,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,94,Bumble Bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,95,Bumble Bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,96,Bumble Bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,97,Bumble Bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,98,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,99,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,100,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,101,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,102,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,103,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,104,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,105,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,106,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,107,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,108,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,109,wasp,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,110,Syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,111,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,LCP,,,
JC,7/16/12,112,bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,LCP,,,
JC,7/16/12,113,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,114,syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,115,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,116,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,117,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,118,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,119,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,120,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,121,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,122,wasp,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,123,bumble bee,,,yarrow,Achillea millefolium,5,1,LCP,,,
JC,7/16/12,124,small dark bee,,,Campanula rotundifolia,Campanula rotundifolia,5,1,LCP,,,
JC,7/16/12,125,small dark bee,,,mountain parsely,Cymopterus lemmonii,5,1,LCP,,,
JC,7/16/12,126,small dark bee,,,Geranium,Geranium caespitosum,5,1,LCP,,,
JC,7/16/12,127,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,128,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,129,small dark bee,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,130,fly,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,131,small dark bee,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,132,small dark bee,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,133,small dark bee,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,134,small dark bee,,,Potentilla hippiana,Potentilla hippiana,5,1,LCP,,,
JC,7/16/12,135,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,136,bee,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,137,fly,,,yarrow,Achillea millefolium,5,1,LCP,,,
JC,7/16/12,138,fly,,,yarrow,Achillea millefolium,5,1,LCP,,,
JC,7/16/12,139,skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,140,moth,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,141,moth,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,142,skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,143,skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,144,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,145,Syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,146,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,147,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,148,Syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,149,bee,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,150,bee,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,151,fly,,,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,152,Sulfur,Colias eurytheme,f,Western wallflower,Erysimum capitatum,5,1,HLS,,,
JC,7/16/12,153,white,Pontia protodice,f,Hymenopappus newberryi,Hymenopappus newberryi,5,1,LCP,,,
JC,7/16/12,154,moth,,,Erigeron subtrinervis,Erigeron subtrinervis,5,1,LCP,,,
JC,7/16/12,155,moth,,,yarrow,Achillea millefolium,5,1,LCP,,,
JC,7/17/12,0,hummingbird,Selasphorus platycercus,,star gilia,Ipomopsis aggregata,6,1,LCP,,,
JC,7/17/12,0,hummingbird,Selasphorus platycercus,,star gilia,Ipomopsis aggregata,6,1,LCP,,,
JC,7/17/12,0,hummingbird,Selasphorus platycercus,,star gilia,Ipomopsis aggregata,6,1,LCP,,,
JC,7/17/12,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,6,1,LCP,,,
JC,7/17/12,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,6,1,LCP,,,
JC,7/17/12,0,hummingbird,Selasphorus platycercus,,red penstemen,Penstemon barbatus,6,1,LCP,,,
JC,7/17/12,1,Speyeria,,,Hymenopappus newberryi,Hymenopappus newberryi,6,1,LCP,,,
JC,7/17/12,2,Speyeria,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,3,blue,,,Potentilla hippiana,Potentilla hippiana,6,1,HLS,,,
JC,7/17/12,4,copper,Plebejus glandon,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,5,skipper,,,"smooth, small Erigeron",Erigeron formosissimus,6,1,HLS,,,
JC,7/17/12,6,sulfur,Colias eurytheme,f,Hymenopappus newberryi,Hymenopappus newberryi,6,1,HLS,,,
JC,7/17/12,7,blue,,,Senecio sp.,Senecio eremophilus,6,1,LCP,,,
JC,7/17/12,8,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,9,satyrid,Coenonympha tullia,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,10,sulfur,Eurema nicippe ,f,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,11,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,12,moth,,,Hymenopappus newberryi,Hymenopappus newberryi,6,1,HLS,,,
JC,7/17/12,13,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,14,sulfur,Colias eurytheme,m,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,15,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,16,hairy belly bee,,,Campanula rotundifolia,Campanula rotundifolia,6,1,HLS,,,
JC,7/17/12,17,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,18,bumble bee,,,Penstemon barbatus,Penstemon barbatus,6,1,HLS,,,
JC,7/17/12,19,small dark bee,,,pink,Eremogone fendleri,6,1,HLS,,,
JC,7/17/12,20,small dark bee,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,21,bee,,,red onion,Allium cernuum,6,1,HLS,,,
JC,7/17/12,22,skipper,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,23,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,24,bee,,,Hymenopappus newberryi,Hymenopappus newberryi,6,1,HLS,,,
JC,7/17/12,25,bee,,,red clover,Trifolium pratense,6,1,HLS,,,
JC,7/17/12,26,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,27,syrphid,,,yarrow,Achillea millefolium,6,1,HLS,,,
JC,7/17/12,28,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,29,skipper,,,Potentilla fruticosa,Potentilla fruticosa,6,1,HLS,,,
JC,7/17/12,30,syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,31,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,32,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,33,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,6,1,HLS,,,
JC,7/17/12,34,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,6,1,HLS,,,
JC,7/17/12,35,syrphid,,,Campanula rotundifolia,Campanula rotundifolia,6,1,HLS,,,
JC,7/17/12,36,bombyliid,,,"smooth, small Erigeron",Erigeron formosissimus,6,1,LCP,,,
JC,7/17/12,37,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,6,1,LCP,,,
JC,7/17/12,38,sweat bee,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,39,bee,,,Hymenopappus newberryi,Hymenopappus newberryi,6,1,LCP,,,
JC,7/17/12,40,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,41,fly,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,42,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,43,bee,,,"smooth, small Erigeron",Erigeron formosissimus,6,1,LCP,,,
JC,7/17/12,44,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,45,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,46,syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,47,syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,48,bumble bee,,,Campanula rotundifolia,Campanula rotundifolia,6,1,LCP,,,
JC,7/17/12,49,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,50,wasp,,,Potentilla hippiana,Potentilla hippiana,6,1,LCP,,,
JC,7/17/12,51,bee,,,Hymenopappus newberryi,Hymenopappus newberryi,6,1,LCP,,,
JC,7/17/12,52,bombyliid,,,"smooth, small Erigeron",Erigeron formosissimus,6,1,LCP,,,
JC,7/17/12,53,syrphid,,,Potentilla hippiana,Potentilla hippiana,6,1,LCP,,,
JC,7/17/12,54,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,55,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,LCP,,,
JC,7/17/12,56,syrphid,,,Hymenopappus newberryi,Hymenopappus newberryi,6,1,LCP,,,
JC,7/17/12,57,bee,,,yarrow,Achillea millefolium,6,1,LCP,,,
JC,7/17/12,58,small dark bee,,,Potentilla hippiana,Potentilla hippiana,6,1,HLS,,,
JC,7/17/12,59,beetle,,,Potentilla hippiana,Potentilla hippiana,6,1,HLS,,,
JC,7/17/12,60,bee,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,61,fly,,,Potentilla hippiana,Potentilla hippiana,6,1,HLS,,,
JC,7/17/12,62,fly,,,Potentilla hippiana,Potentilla hippiana,6,1,HLS,,,
JC,7/17/12,63,fly,,,Potentilla fruticosa,Potentilla fruticosa,6,1,HLS,,,
JC,7/17/12,64,bee,,,Potentilla fruticosa,Potentilla fruticosa,6,1,HLS,,,
JC,7/17/12,65,sweat bee,,,Potentilla hippiana,Potentilla hippiana,6,1,HLS,,,
JC,7/17/12,66,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,67,wasp,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,68,bombyliid,,,pink,Eremogone fendleri,6,1,HLS,,,
JC,7/17/12,69,small dark bee,,,Potentilla hippiana,Potentilla hippiana,6,1,HLS,,,
JC,7/17/12,70,bombyliid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,71,syrphid,,,Erigeron subtrinervis,Erigeron subtrinervis,6,1,HLS,,,
JC,7/17/12,72,small dark bee,,,pink,Eremogone fendleri,6,1,HLS,,,
JC,7/17/12,73,wasp,,,Potentilla hippiana,Potentilla hippiana,6,1,HLS,,,
JC,7/17/12,74,sweat bee,,,Campanula rotundifolia,Campanula rotundifolia,6,1,HLS,,,
JC,7/17/12,75,bee,,,Potentilla hippiana,Potentilla hippiana,6,1,HLS,,,
JC,7/17/12,76,wasp,,,Potentilla hippiana,Potentilla hippiana,6,1,LCP,,,
